yrpub,count,authorOfColor,nonPersonAuthor,neighborhood,collection,type,age,category1,category2,languages,originalLang
2004,1,0,1,Montlake,Montlake5,Nonfiction,Adult,Self Help/Health,Null,English,English
1984,1,0,1,Northgate,Northgate3,Nonfiction,Adult,Crafts,Null,English,English
2012,1,0,0,Northgate,Northgate3,Fiction,Childrens,Null,Null,English,English
1967,1,0,0,Phinney-Greenwood,Phinney-Green2,Nonfiction,Adult,Self Help/Health,Null,English,
1984,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,History,Null,English,English
1970,1,1,0,Northgate,Northgate2,Nonfiction,Adult,Religion,Null,,
1964,1,0,1,Northgate,Northgate4,Nonfiction,Childrens,Null,Null,English,
2000,1,0,0,Northgate,Northgate1,Nonfiction,Childrens,Null,Null,English,English
2005,1,0,1,Phinney-Greenwood,Phinney-Green3,Nonfiction,Childrens,Null,Null,English,English
1970,1,0,0,Northgate,Northgate3,Fiction,Adult,Novel,Null,English,
1998,1,0,0,Northgate,Northgate3,Fiction,Adult,SciFi/Fantasy,Null,English,English
1995,1,0,0,Northgate,Northgate3,Fiction,Adult,SciFi/Fantasy,Null,English,English
1975,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,History,Null,English,
1983,1,0,1,Montlake,Montlake4,Nonfiction,Adult,Art,Null,English,English
1989,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Anthology/Essays/Short stories,Null,English,
2014,1,0,1,Queen Anne,QueenAnne3,Fiction,Childrens,Null,Null,English,
2005,1,0,0,Montlake,Montlake4,Nonfiction,Adult,Crafts,Null,,
2008,1,0,0,Montlake,Montlake4,Fiction,Young Adult,Novel,Null,English,English
1968,1,0,0,Central District,CentralDistrict3,Fiction,Young Adult,Novel,Null,,
2007,1,0,1,Columbia City,ColumbiaCity1,Nonfiction,Adult,History,Null,English,English
1984,1,0,0,Columbia City,ColumbiaCity1,Fiction,Adult,SciFi/Fantasy,Null,English,English
1994,1,0,0,Queen Anne,QueenAnne4,Nonfiction,Adult,Self Help/Health,Null,English,English
2006,1,0,0,Queen Anne,QueenAnne3,Fiction,Adult,SciFi/Fantasy,SciFi/Fantasy,English,English
1977,1,0,0,Ravenna,Ravenna3,Fiction,Adult,SciFi/Fantasy,Novel,English,English
1993,1,0,0,Montlake,Montlake4,Nonfiction,Adult,Self Help/Health,Null,,English
1958,1,0,0,Montlake,Montlake4,Fiction,Adult,Novel,Null,,
2011,1,0,1,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,English,English
2003,1,0,0,Northgate,Northgate3,Fiction,Adult,Novel,History,English,English
2005,1,0,0,Northgate,Northgate3,Fiction,Adult,Novel,Null,English,English
2004,1,0,0,Northgate,Northgate3,Fiction,Adult,SciFi/Fantasy,Null,English,English
2018,1,0,0,Central District,CentralDistrict4,Fiction,Adult,Thriller/Suspense,Null,English,English
1991,1,0,0,Laurelhurst,Laurelhurst2,Fiction,Adult,Cultural Studies,Null,English,English
2019,1,0,0,Central District,CentralDistrict1,Nonfiction,Adult,Cultural Studies,Null,English,English
1992,1,0,0,Central District,CentralDistrict1,Fiction,Adult,Novel,Null,English,English
2007,1,0,0,Central District,CentralDistrict1,Fiction,Adult,Religion,Null,English,English
2006,1,0,0,Central District,CentralDistrict1,Fiction,Adult,Thriller/Suspense,Novel,English,English
1990,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Anthology/Essays/Short stories,Null,English,
1975,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Anthology/Essays/Short stories,Null,English,
2009,1,0,0,Central District,CentralDistrict2,Nonfiction,Adult,Business/Technology,Null,English,English
2009,1,1,0,Central District,CentralDistrict2,Fiction,Adult,Novel,Null,English,English
2018,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Novel,Null,English,English
1988,1,1,0,Central District,CentralDistrict2,Fiction,Adult,Novel,Null,English,English
2011,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Novel,Null,English,English
2017,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Novel,Null,English,English
2009,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Novel,Null,English,English
1991,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Novel,Null,English,English
2010,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Novel,Null,English,English
1998,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Novel,Null,English,English
1996,1,0,0,Central District,CentralDistrict2,Nonfiction,Adult,Self Help/Health,Null,English,English
2013,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Thriller/Suspense,Null,English,English
2003,1,0,0,Central District,CentralDistrict2,Fiction,Adult,Thriller/Suspense,Null,English,English
2018,1,0,0,Central District,CentralDistrict3,Nonfiction,Adult,Biography/Autobiography/Memoir,Cookery,English,English
2008,1,0,0,Central District,CentralDistrict3,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,English,English
2007,1,0,0,Central District,CentralDistrict3,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,English,English
2007,1,0,0,Central District,CentralDistrict3,Nonfiction,Adult,Crafts,Null,,
2005,1,0,0,Central District,CentralDistrict3,Nonfiction,Adult,Cultural Studies,Null,English,English
1993,1,0,0,Central District,CentralDistrict3,Fiction,Adult,Mystery,Null,English,English
1997,1,0,0,Central District,CentralDistrict3,Fiction,Adult,Mystery,Null,English,English
1991,1,0,0,Central District,CentralDistrict3,Fiction,Adult,Mystery,Null,English,English
1986,1,0,0,Central District,CentralDistrict3,Fiction,Adult,Mystery,Null,English,English
2003,1,0,0,Central District,CentralDistrict3,Nonfiction,Adult,Nature/Gardening,Null,English,English
1993,1,0,0,Central District,CentralDistrict3,Nonfiction,Adult,Nature/Gardening,Null,English,English
1999,1,0,0,Central District,CentralDistrict3,Fiction,Adult,Novel,Null,English,English
2000,1,0,0,Central District,CentralDistrict3,Nonfiction,Adult,Religion,Null,English,English
1993,1,0,0,Central District,CentralDistrict3,Fiction,Adult,Thriller/Suspense,Null,English,English
2011,1,0,0,Central District,CentralDistrict3,Fiction,Adult,Thriller/Suspense,Null,English,English
1996,1,0,0,Central District,CentralDistrict3,Fiction,Adult,Thriller/Suspense,Null,English,English
2007,1,0,1,Central District,CentralDistrict4,Nonfiction,Adult,Biography/Autobiography/Memoir,History,English,English
2008,1,0,0,Central District,CentralDistrict4,Nonfiction,Adult,Cultural Studies,Null,English,English
2013,1,0,0,Central District,CentralDistrict4,Nonfiction,Adult,History,Null,English,English
1992,1,0,0,Central District,CentralDistrict4,Nonfiction,Adult,History,Null,English,English
2012,1,0,0,Central District,CentralDistrict4,Fiction,Adult,Mystery,Null,English,English
2015,1,0,0,Central District,CentralDistrict4,Nonfiction,Adult,Religion,Null,English,English
2002,1,0,0,Central District,CentralDistrict4,Nonfiction,Adult,Religion,Self Help/Health,English,English
1999,1,0,0,Central District,CentralDistrict4,Fiction,Adult,Romance,Null,English,English
2011,1,0,0,Central District,CentralDistrict4,Fiction,Adult,Romance,Null,English,English
2008,1,0,0,Central District,CentralDistrict4,Fiction,Adult,SciFi/Fantasy,Null,"English, Undetermined",English
2000,1,0,0,Central District,CentralDistrict4,Nonfiction,Adult,Self Help/Health,Null,English,English
1981,1,0,0,Central District,CentralDistrict4,Nonfiction,Adult,Self Help/Health,Null,English,
2003,1,0,0,Central District,CentralDistrict4,Nonfiction,Adult,Sports,Null,English,English
1996,1,0,0,Central District,CentralDistrict4,Fiction,Adult,Thriller/Suspense,Null,English,English
2017,1,0,0,Central District,CentralDistrict4,Fiction,Adult,Thriller/Suspense,Null,English,English
2012,1,0,0,Central District,CentralDistrict5,Fiction,Adult,Anthology/Essays/Short stories,Null,,
2007,1,0,0,Central District,CentralDistrict5,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,,
1962,1,0,0,Central District,CentralDistrict5,Nonfiction,Adult,History,Biography,English,English
2012,1,0,0,Central District,CentralDistrict5,Fiction,Adult,History,Null,English,English
1989,1,0,0,Central District,CentralDistrict5,Nonfiction,Adult,History,Null,English,English
1987,1,0,0,Central District,CentralDistrict5,Nonfiction,Adult,Self Help/Health,Null,English,
1988,1,1,0,Central District,CentralDistrict5,Nonfiction,Adult,Biography,Null,Japanese,
1988,1,0,0,Central District,CentralDistrict6,Nonfiction,Adult,Art,Null,English,English
2018,1,0,0,Central District,CentralDistrict6,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,English,English
2001,1,0,0,Central District,CentralDistrict6,Nonfiction,Adult,Cultural Studies,Null,English,English
1997,1,0,0,Central District,CentralDistrict6,Fiction,Adult,Mystery,Null,English,English
1997,1,0,0,Central District,CentralDistrict6,Fiction,Adult,Mystery,Null,,
2015,1,1,0,Central District,CentralDistrict6,Fiction,Adult,Novel,Null,English,English
2006,1,0,0,Central District,CentralDistrict6,Fiction,Adult,Novel,Null,English,English
2013,1,0,0,Central District,CentralDistrict6,Fiction,Adult,Novel,Null,English,English
2010,1,0,0,Central District,CentralDistrict6,Fiction,Adult,Religion,Null,Spanish,
2012,1,0,0,Central District,CentralDistrict6,Nonfiction,Adult,Self Help/Health,Null,English,English
2019,1,0,0,Columbia City,ColumbiaCity1,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,English,English
1998,1,0,0,Columbia City,ColumbiaCity1,Nonfiction,Adult,Cultural Studies,Null,"English, French",English
2019,1,0,0,Columbia City,ColumbiaCity1,Nonfiction,Adult,Cultural Studies,Null,English,English
2017,1,0,0,Columbia City,ColumbiaCity1,Fiction,Adult,History,Novel,English,English
2019,1,0,0,Columbia City,ColumbiaCity1,Nonfiction,Adult,Mystery,Null,English,English
2018,1,0,0,Columbia City,ColumbiaCity1,Fiction,Adult,Novel,Null,English,English
1964,1,1,0,Columbia City,ColumbiaCity1,Nonfiction,Adult,Religion,Null,English,English
1985,1,0,0,Columbia City,ColumbiaCity1,Nonfiction,Adult,Self Help/Health,Null,English,English
2009,1,0,0,Columbia City,ColumbiaCity1,Fiction,Adult,Thriller/Suspense,Novel,English,English
2019,1,0,0,Columbia City,ColumbiaCity1,Fiction,Adult,Thriller/Suspense,Null,English,English
1996,1,0,0,Columbia City,ColumbiaCity2,Fiction,Adult,Anthology/Essays/Short stories,Null,English,English
1974,1,0,0,Columbia City,ColumbiaCity2,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,English,English
1991,1,0,0,Columbia City,ColumbiaCity2,Nonfiction,Adult,Cookery,Null,English,English
1991,1,0,0,Columbia City,ColumbiaCity2,Nonfiction,Adult,Cookery,Null,English,English
2014,1,0,0,Columbia City,ColumbiaCity2,Fiction,Adult,Novel,History,English,English
1990,1,0,0,Columbia City,ColumbiaCity2,Fiction,Adult,Novel,Null,English,English
2008,1,0,0,Columbia City,ColumbiaCity2,Fiction,Adult,Novel,Null,English,English
2019,1,0,0,Columbia City,ColumbiaCity2,Fiction,Adult,Novel,Null,English,English
2019,1,0,0,Columbia City,ColumbiaCity2,Fiction,Adult,Novel,Null,English,English
1990,1,0,1,Columbia City,ColumbiaCity2,Nonfiction,Adult,Reference,Null,English,English
2011,1,0,0,Columbia City,ColumbiaCity2,Fiction,Adult,SciFi/Fantasy,Art,English,English
2019,1,0,0,Columbia City,ColumbiaCity2,Nonfiction,Adult,Self Help/Health,Null,English,English
2005,1,0,0,Columbia City,ColumbiaCity2,Fiction,Adult,Self Help/Health,Null,English,English
2004,1,0,0,Columbia City,ColumbiaCity2,Nonfiction,Adult,Self Help/Health,Null,English,English
2018,1,0,0,Columbia City,ColumbiaCity2,Nonfiction,Adult,Self Help/Health,Null,English,English
2012,1,0,0,Columbia City,ColumbiaCity2,Fiction,Adult,Thriller/Suspense,Null,English,English
2019,1,0,0,Columbia City,ColumbiaCity3,Nonfiction,Adult,Anthology/Essays/Short stories,Null,English,English
2007,1,0,0,Columbia City,ColumbiaCity3,Nonfiction,Adult,Anthology/Essays/Short stories,Null,English,English
1960,1,0,0,Columbia City,ColumbiaCity3,Fiction,Adult,Classics,Poetry,English,Akkadian
1946,1,0,0,Columbia City,ColumbiaCity3,Fiction,Adult,Classics,Null,English,English
1999,1,0,0,Columbia City,ColumbiaCity3,Nonfiction,Adult,Cookery,Null,English,English
1993,1,0,0,Columbia City,ColumbiaCity3,Nonfiction,Adult,Cultural Studies,Null,English,English
1970,1,0,0,Columbia City,ColumbiaCity3,Fiction,Adult,Drama,Null,English,
1981,1,0,0,Columbia City,ColumbiaCity3,Nonfiction,Adult,History,Biography,,Latin
2013,1,0,0,Columbia City,ColumbiaCity3,Fiction,Adult,Mystery,Null,English,English
2004,1,0,0,Columbia City,ColumbiaCity3,Fiction,Adult,Mystery,Null,English,English
1988,1,0,0,Columbia City,ColumbiaCity3,Fiction,Adult,Novel,History,English,English
2018,1,0,0,Columbia City,ColumbiaCity3,Fiction,Adult,Novel,Null,English,English
2017,1,1,0,Columbia City,ColumbiaCity3,Fiction,Adult,Novel,Null,English,English
2018,1,0,0,Columbia City,ColumbiaCity3,Fiction,Adult,Novel,Null,English,English
2015,1,0,0,Columbia City,ColumbiaCity3,Nonfiction,Adult,Religion,Null,English,English
2011,1,0,0,Columbia City,ColumbiaCity3,Nonfiction,Adult,SciFi/Fantasy,Null,English,English
2003,1,0,0,Columbia City,ColumbiaCity3,Fiction,Adult,Thriller/Suspense,Null,English,English
2007,1,0,0,Columbia City,ColumbiaCity4,Fiction,Adult,Anthology/Essays/Short stories,Null,English,English
1946,1,0,0,Columbia City,ColumbiaCity4,Nonfiction,Adult,Art,Null,,
2001,1,0,0,Columbia City,ColumbiaCity4,Nonfiction,Adult,Art,Null,English,English
2002,1,1,0,Columbia City,ColumbiaCity4,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,English,English
2008,1,1,0,Columbia City,ColumbiaCity4,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,English,English
2006,1,0,0,Columbia City,ColumbiaCity4,Nonfiction,Adult,Business/Technology,Null,English,English
1950,1,0,0,Columbia City,ColumbiaCity4,Nonfiction,Adult,Business/Technology,Null,English,English
1928,1,0,0,Columbia City,ColumbiaCity4,Nonfiction,Adult,Music,Null,French,
1993,1,0,0,Columbia City,ColumbiaCity4,Fiction,Adult,Novel,Null,"English, Achinese",English
1979,1,0,0,Columbia City,ColumbiaCity4,Fiction,Adult,Novel,Null,English,English
2009,1,0,0,Columbia City,ColumbiaCity4,Fiction,Adult,Romance,Null,English,
2009,1,0,0,Columbia City,ColumbiaCity4,Fiction,Adult,Romance,Null,English,
1982,1,0,0,Columbia City,ColumbiaCity5,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,English,English
1984,1,0,0,Columbia City,ColumbiaCity5,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,English,English
1999,1,0,0,Columbia City,ColumbiaCity5,Nonfiction,Adult,Cookery,Null,English,English
2018,1,0,0,Columbia City,ColumbiaCity5,Nonfiction,Adult,History,Null,English,English
2002,1,0,0,Columbia City,ColumbiaCity5,Nonfiction,Adult,Self Help/Health,Null,English,English
2001,1,0,0,Columbia City,ColumbiaCity5,Nonfiction,Adult,Thriller/Suspense,Null,English,English
2015,1,0,1,Columbia City,ColumbiaCity5,Nonfiction,Adult,Cultural Studies,Null,English,
2017,1,0,0,Laurelhurst,Laurelhurst1,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,English,English
2005,1,0,0,Laurelhurst,Laurelhurst1,Fiction,Adult,Mystery,Null,English,English
2002,1,0,0,Laurelhurst,Laurelhurst1,Fiction,Adult,Mystery,Null,English,English
1997,1,0,0,Laurelhurst,Laurelhurst1,Fiction,Adult,Mystery,Null,English,English
2009,1,0,0,Laurelhurst,Laurelhurst1,Fiction,Adult,Novel,Null,English,English
2004,1,0,0,Laurelhurst,Laurelhurst1,Fiction,Adult,Novel,Null,English,English
2018,1,0,0,Laurelhurst,Laurelhurst1,Fiction,Adult,Romance,Null,English,English
2014,1,0,0,Laurelhurst,Laurelhurst1,Fiction,Adult,Romance,Null,English,English
2010,1,0,0,Laurelhurst,Laurelhurst1,Nonfiction,Adult,Self Help/Health,Null,English,English
2009,1,1,0,Laurelhurst,Laurelhurst1,Nonfiction,Adult,Self Help/Health,Null,English,English
1997,1,0,0,Laurelhurst,Laurelhurst1,Nonfiction,Adult,Self Help/Health,Null,English,English
2002,1,0,0,Laurelhurst,Laurelhurst1,Fiction,Adult,Thriller/Suspense,Null,English,English
2003,1,0,0,Laurelhurst,Laurelhurst2,Fiction,Adult,Classics,Null,English,English
1987,1,0,0,Laurelhurst,Laurelhurst2,Fiction,Adult,Mystery,Null,English,English
1991,1,0,0,Laurelhurst,Laurelhurst2,Fiction,Adult,Mystery,Null,English,English
2004,1,0,0,Laurelhurst,Laurelhurst2,Nonfiction,Adult,Nature/Gardening,Art,English,English
1988,1,0,0,Laurelhurst,Laurelhurst2,Fiction,Adult,Novel,Null,English,English
1994,1,0,0,Laurelhurst,Laurelhurst2,Fiction,Adult,SciFi/Fantasy,Null,English,English
1983,1,0,0,Laurelhurst,Laurelhurst2,Fiction,Adult,SciFi/Fantasy,Null,English,English
1978,1,0,0,Laurelhurst,Laurelhurst2,Nonfiction,Adult,Self Help/Health,Null,English,English
2015,1,0,0,Laurelhurst,Laurelhurst2,Fiction,Adult,Thriller/Suspense,Null,English,English
1986,1,0,0,Laurelhurst,Laurelhurst2,Fiction,Adult,Thriller/Suspense,Null,English,English
1998,1,0,0,Laurelhurst,Laurelhurst3,Nonfiction,Adult,Cookery,Null,English,English
1995,1,0,0,Laurelhurst,Laurelhurst3,Nonfiction,Adult,Cookery,Null,English,English
1979,1,0,0,Laurelhurst,Laurelhurst3,Fiction,Adult,Cookery,Null,English,
1986,1,1,0,Laurelhurst,Laurelhurst3,Nonfiction,Adult,Cookery,Null,English,English
2000,1,0,0,Laurelhurst,Laurelhurst3,Nonfiction,Adult,Cultural Studies,Null,English,English
1977,1,0,0,Laurelhurst,Laurelhurst3,Nonfiction,Adult,Cultural Studies,Null,English,English
2007,1,0,0,Laurelhurst,Laurelhurst3,Nonfiction,Adult,History,Null,English,English
2009,1,0,0,Laurelhurst,Laurelhurst3,Fiction,Adult,Mystery,Null,English,English
2004,1,1,0,Laurelhurst,Laurelhurst3,Fiction,Adult,novel,Null,English,English
2007,1,0,0,Laurelhurst,Laurelhurst3,Fiction,Adult,SciFi/Fantasy,Null,English,English
2009,1,0,0,Laurelhurst,Laurelhurst3,Fiction,Adult,SciFi/Fantasy,Null,English,English
2007,1,0,0,Laurelhurst,Laurelhurst3,Fiction,Adult,SciFi/Fantasy,Null,English,English
2006,1,0,0,Laurelhurst,Laurelhurst3,Fiction,Adult,SciFi/Fantasy,Null,English,English
2007,1,0,1,Laurelhurst,Laurelhurst4,Nonfiction,Adult,Art,Null,English,English
2001,1,0,0,Laurelhurst,Laurelhurst4,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,English,English
1994,1,0,0,Laurelhurst,Laurelhurst4,Fiction,Adult,Mystery,Null,English,English
2012,1,0,0,Laurelhurst,Laurelhurst4,Nonfiction,Adult,Nature/Gardening,Null,English,English
1997,1,0,0,Laurelhurst,Laurelhurst4,Fiction,Adult,Novel,History,English,English
2017,1,0,0,Laurelhurst,Laurelhurst4,Fiction,Adult,Novel,Null,English,English
2007,1,1,0,Laurelhurst,Laurelhurst4,Fiction,Adult,Novel,Null,English,English
1988,1,1,0,Laurelhurst,Laurelhurst4,Fiction,Adult,Novel,Null,English,English
1982,1,0,0,Laurelhurst,Laurelhurst4,Fiction,Adult,Novel,Null,English,English
2013,1,0,0,Laurelhurst,Laurelhurst4,Fiction,Adult,Novel,Null,English,English
2013,1,0,0,Laurelhurst,Laurelhurst4,Nonfiction,Adult,Sports,Null,English,English
1974,1,0,0,Laurelhurst,Laurelhurst4,Fiction,Adult,Thriller/Suspense,Null,English,
2014,1,0,0,Laurelhurst,Laurelhurst4,Nonfiction,Adult,Travel,Null,English,English
1996,1,0,0,Laurelhurst,Laurelhurst5,Fiction,Adult,Anthology/Essays/Short stories,Null,English,English
2012,1,0,0,Laurelhurst,Laurelhurst5,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,English,English
2008,1,0,0,Laurelhurst,Laurelhurst5,Fiction,Adult,Mystery,Novel,English,English
2004,1,0,0,Laurelhurst,Laurelhurst5,Fiction,Adult,Mystery,Null,English,English
2001,1,0,0,Laurelhurst,Laurelhurst5,Fiction,Adult,Mystery,Null,English,English
1992,1,0,0,Laurelhurst,Laurelhurst5,Fiction,Adult,Mystery,Null,English,English
1981,1,0,0,Laurelhurst,Laurelhurst5,Fiction,Adult,Mystery,Null,English,English
1995,1,0,0,Laurelhurst,Laurelhurst5,Fiction,Adult,Mystery,Null,English,English
1998,1,0,0,Laurelhurst,Laurelhurst5,Fiction,Adult,Novel,Null,English,English
1996,1,0,0,Laurelhurst,Laurelhurst5,Fiction,Adult,Novel,Null,English,English
1986,1,0,0,Laurelhurst,Laurelhurst5,Fiction,Adult,Novel,Null,English,English
2014,1,0,0,Laurelhurst,Laurelhurst5,Fiction,Adult,Novel,Null,English,English
2013,1,0,0,Laurelhurst,Laurelhurst6,Fiction,Adult,Novel,Null,English,English
1982,1,0,0,Laurelhurst,Laurelhurst6,Fiction,Adult,Novel,Null,English,English
2011,1,1,0,Laurelhurst,Laurelhurst6,Nonfiction,Adult,Religion,Null,English,English
1994,1,0,0,Laurelhurst,Laurelhurst6,Nonfiction,Adult,Self Help/Health,Anthology,English,English
1995,1,0,0,Laurelhurst,Laurelhurst6,Nonfiction,Adult,Self Help/Health,Null,English,English
1993,1,0,0,Laurelhurst,Laurelhurst6,Nonfiction,Adult,Travel,Null,English,English
1979,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Art,History,English,English
1980,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,English,English
2013,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Business/Technology,Null,English,English
1980,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Cookery,Null,English,English
1981,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Cookery,Null,English,English
1979,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Cookery,Null,English,English
1984,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Cookery,Null,English,English
1998,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Cookery,Null,English,English
1999,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Cookery,Null,English,
1999,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Cookery,Null,,English
1998,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Cookery,Null,English,English
1998,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Cookery,Null,English,English
1998,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Cookery,Null,English,English
