yrpub,count,authorOfColor,nonPersonAuthor,neighborhood,collection,type,age,category1,category2,languages,originalLang
2012,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Cookery,Null,,English
1998,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Cookery,Null,English,English
2006,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Cookery,Null,English,English
2006,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Cookery,Null,English,English
2006,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Cookery,Null,English,English
2010,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Cookery,Null,English,English
1996,1,0,0,Montlake,Montlake2,Fiction,Adult,Mystery,Null,English,English
1985,1,0,0,Montlake,Montlake2,Fiction,Adult,Poetry,Null,English,Swedish
2003,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Self Help/Health,Null,English,English
1982,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Self Help/Health,Null,English,English
1983,1,0,0,Montlake,Montlake2,Nonfiction,Adult,Self Help/Health,Null,English,English
2003,1,0,0,Montlake,Montlake4,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,English,English
1963,1,0,0,Montlake,Montlake4,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,English,
1988,1,0,0,Montlake,Montlake4,Nonfiction,Adult,Cookery,Null,English,English
1997,1,0,0,Montlake,Montlake4,Nonfiction,Adult,Cookery,Null,English,English
2008,1,0,0,Montlake,Montlake4,Fiction,Adult,Mystery,Null,English,English
2004,1,0,0,Montlake,Montlake4,Fiction,Adult,Mystery,Null,English,English
1996,1,0,0,Montlake,Montlake4,Fiction,Adult,Mystery,Null,English,English
2014,1,0,0,Montlake,Montlake4,Fiction,Adult,Mystery,Null,English,English
2013,1,0,0,Montlake,Montlake4,Nonfiction,Adult,Nature/Gardening,Null,English,English
1992,1,1,0,Montlake,Montlake4,Fiction,Adult,Novel,Cultural Studies,English,Arabic
2007,1,0,0,Montlake,Montlake4,Fiction,Adult,Novel,Null,English,English
1998,1,0,0,Montlake,Montlake4,Fiction,Adult,Novel,Null,English,English
1990,1,0,0,Montlake,Montlake4,Fiction,Adult,Novel,Null,English,English
1990,1,0,0,Montlake,Montlake4,Fiction,Adult,Novel,Null,English,English
2018,1,0,0,Montlake,Montlake4,Nonfiction,Adult,Novel,Null,English,English
2016,1,0,0,Montlake,Montlake4,Nonfiction,Adult,Self Help/Health,Null,English,English
1992,1,0,0,Montlake,Montlake4,Nonfiction,Adult,Self Help/Health,Null,English,English
1986,1,0,0,Montlake,Montlake4,Fiction,Adult,Sports,Null,English,English
1999,1,0,0,Montlake,Montlake4,Fiction,Adult,Thriller/Suspense,Null,English,English
1991,1,0,0,Montlake,Montlake5,Fiction,Adult,Anthology/Essays/Short stories,Null,English,English
1976,1,0,0,Montlake,Montlake5,Nonfiction,Adult,Art,Null,English,English
2009,1,0,0,Montlake,Montlake5,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,English,English
2012,1,0,0,Montlake,Montlake5,Nonfiction,Adult,Business/Technology,Null,English,English
2002,1,0,0,Montlake,Montlake5,Nonfiction,Adult,Cookery,Null,French,French
1986,1,0,0,Montlake,Montlake5,Nonfiction,Adult,History,Null,English,English
2013,1,0,0,Montlake,Montlake5,Nonfiction,Adult,History,Null,English,English
1995,1,1,0,Montlake,Montlake5,Fiction,Adult,Novel,History,English,English
2006,1,0,0,Montlake,Montlake5,Fiction,Adult,Novel,Null,English,English
1997,1,0,0,Montlake,Montlake5,Fiction,Adult,Novel,Null,English,English
2008,1,0,0,Montlake,Montlake5,Fiction,Adult,Novel,Null,English,English
2010,1,0,1,Montlake,Montlake5,Nonfiction,Adult,Reference,Null,,
2003,1,1,0,Montlake,Montlake5,Nonfiction,Adult,Self Help/Health,Null,English,English
2016,1,0,0,Montlake,Montlake5,Nonfiction,Adult,Self Help/Health,Null,English,English
2018,1,0,0,Montlake,Montlake5,Fiction,Adult,Thriller/Suspense,Null,English,English
2018,1,0,0,Montlake,Montlake5,Nonfiction,Adult,Travel,Null,English,English
2018,1,0,0,Montlake,Montlake5,Nonfiction,Adult,Travel,Null,English,English
2004,1,0,0,Montlake,Montlake6,Nonfiction,Adult,Cookery,Null,English,English
2002,1,0,0,Montlake,Montlake6,Nonfiction,Adult,Cookery,Null,English,English
1997,1,0,0,Montlake,Montlake6,Fiction,Adult,Mystery,Null,English,English
2009,1,0,0,Montlake,Montlake6,Fiction,Adult,Novel,Null,English,English
1992,1,0,0,Montlake,Montlake6,Fiction,Adult,Novel,Null,English,English
1986,1,0,0,Montlake,Montlake6,Fiction,Adult,Novel,Null,English,English
1974,1,0,0,Montlake,Montlake6,Fiction,Adult,Poetry,Null,English,English
1989,1,0,0,Montlake,Montlake6,Fiction,Adult,SciFi/Fantasy,Null,English,English
2002,1,0,0,Montlake,Montlake6,Fiction,Adult,Thriller/Suspense,Null,English,English
1997,1,0,0,Northgate,Northgate1,Fiction,Adult,Anthology/Essays/Short stories,Null,English,English
2015,1,0,0,Northgate,Northgate1,Nonfiction,Adult,Business/Technology,Null,,
2013,1,0,0,Northgate,Northgate1,Nonfiction,Adult,Business/Technology,Null,Spanish,English
2001,1,0,0,Northgate,Northgate1,Fiction,Adult,Drama,Null,English,English
2009,1,0,0,Northgate,Northgate1,Nonfiction,Adult,Music,Null,English,
2009,1,0,0,Northgate,Northgate1,Nonfiction,Adult,Music,Null,,
1977,1,0,0,Northgate,Northgate1,Fiction,Adult,Novel,History,English,English
2008,1,0,0,Northgate,Northgate1,Fiction,Adult,Novel,Null,English,English
2011,1,0,0,Northgate,Northgate1,Nonfiction,Adult,Religion,Self Help/Health,English,English
2000,1,0,0,Northgate,Northgate1,Nonfiction,Adult,Religion,Self Help/Health,English,English
2016,1,0,0,Northgate,Northgate1,Nonfiction,Adult,Religion,Self Help/Health,English,English
2016,1,0,0,Northgate,Northgate1,Fiction,Adult,Thriller/Suspense,Null,English,English
2012,1,0,0,Northgate,Northgate1,Fiction,Adult,Thriller/Suspense,Null,English,English
2019,1,0,0,Northgate,Northgate1,Fiction,Adult,Thriller/Suspense,Null,English,English
2014,1,0,0,Northgate,Northgate1,Fiction,Adult,Thriller/Suspense,Null,English,English
2019,1,0,0,Northgate,Northgate2,Fiction,Adult,Anthology/Essays/Short stories,Null,English,English
2019,1,0,0,Northgate,Northgate2,Fiction,Adult,Anthology/Essays/Short stories,Null,English,English
2006,1,0,0,Northgate,Northgate2,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,English,English
2016,1,0,0,Northgate,Northgate2,Fiction,Adult,Biography/Autobiography/Memoir,Null,English,English
1950,1,0,0,Northgate,Northgate2,Fiction,Adult,Drama,Null,English,
1967,1,0,0,Northgate,Northgate2,Fiction,Adult,Drama,Null,English,English
2015,1,0,0,Northgate,Northgate2,Fiction,Adult,History,Anthology,English,English
2005,1,0,0,Northgate,Northgate2,Nonfiction,Adult,History,Mystery,English,English
2014,1,0,0,Northgate,Northgate2,Nonfiction,Adult,History,Null,English,English
2011,1,1,0,Northgate,Northgate2,Fiction,Adult,Novel,Null,English,English
2003,1,1,0,Northgate,Northgate2,Fiction,Adult,Novel,Null,English,English
2010,1,1,0,Northgate,Northgate2,Fiction,Adult,Novel,Null,English,English
2017,1,0,0,Northgate,Northgate2,Fiction,Adult,Novel,Null,English,English
2011,1,0,0,Northgate,Northgate2,Fiction,Adult,Novel,Null,English,English
2011,1,0,0,Northgate,Northgate2,Fiction,Adult,Novel,Null,English,English
2017,1,0,0,Northgate,Northgate2,Fiction,Adult,Novel,Null,English,English
2000,1,1,0,Northgate,Northgate2,Fiction,Adult,Novel,Null,English,English
2016,1,1,0,Northgate,Northgate2,Fiction,Adult,Novel,Null,English,English
2012,1,0,0,Northgate,Northgate2,Fiction,Adult,Novel,Null,English,English
2014,1,1,0,Northgate,Northgate2,Fiction,Adult,Novel,Null,English,English
2014,1,0,0,Northgate,Northgate2,Fiction,Adult,Novel,Null,,English
2011,1,0,0,Northgate,Northgate2,Fiction,Adult,Novel,Null,English,English
2013,1,0,0,Northgate,Northgate2,Fiction,Adult,Novel,Null,English,English
2011,1,0,0,Northgate,Northgate2,Fiction,Adult,Novel,Null,English,English
1992,1,0,0,Northgate,Northgate2,Fiction,Adult,Novel,Null,English,English
1983,1,1,0,Northgate,Northgate2,Nonfiction,Adult,Religion,Null,English,Chinese
1984,1,1,0,Northgate,Northgate2,Nonfiction,Adult,Religion,Null,"Hindi, English",English
1978,1,1,0,Northgate,Northgate2,Nonfiction,Adult,Religion,Null,English,Chinese
2016,1,1,0,Northgate,Northgate2,Fiction,Adult,Thriller/Suspense,Null,English,English
2011,1,0,0,Northgate,Northgate2,Fiction,Adult,Thriller/Suspense,Null,English,English
2011,1,0,0,Northgate,Northgate2,Fiction,Adult,Thriller/Suspense,Null,English,English
2004,1,0,0,Northgate,Northgate3,Fiction,Adult,Anthology/Essays/Short stories,Null,English,English
2017,1,1,0,Northgate,Northgate3,Nonfiction,Adult,Art,Null,English,English
2011,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Biography/Autobiography/Memoir,History,English,English
2005,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Biography/Autobiography/Memoir,History,English,English
2004,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Biography/Autobiography/Memoir,History,English,English
2002,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,English,English
2008,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Biography/Autobiography/Memoir,Religion,English,
1998,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Crafts,Null,English,English
1990,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Crafts,Null,,
1992,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Crafts,Null,English,English
1995,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Crafts,Null,English,English
1998,1,0,1,Northgate,Northgate3,Nonfiction,Adult,Crafts,Null,English,English
1987,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Crafts,Null,English,English
1975,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Crafts,Null,English,English
1979,1,0,1,Northgate,Northgate3,Nonfiction,Adult,Crafts,Null,English,English
1999,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Cultural Studies,Null,English,English
2012,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Cultural Studies,Null,English,English
2001,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Cultural Studies,Null,English,English
1993,1,0,0,Northgate,Northgate3,Fiction,Adult,Mystery,Null,English,English
1999,1,0,0,Northgate,Northgate3,Fiction,Adult,Mystery,Null,English,English
2012,1,0,0,Northgate,Northgate3,Fiction,Adult,Mystery,Null,English,English
1997,1,0,0,Northgate,Northgate3,Fiction,Adult,Mystery,Null,English,English
1993,1,0,0,Northgate,Northgate3,Fiction,Adult,Mystery,Null,English,English
1988,1,0,0,Northgate,Northgate3,Fiction,Adult,Mystery,Null,English,English
2017,1,0,0,Northgate,Northgate3,Fiction,Adult,Mystery,Null,English,English
2007,1,0,0,Northgate,Northgate3,Fiction,Adult,Mystery,Null,English,English
1988,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Nature/Gardening,Null,English,English
1994,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Nature/Gardening,Null,English,English
1979,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Nature/Gardening,Null,English,English
2013,1,0,0,Northgate,Northgate3,Fiction,Adult,Novel,History,English,English
2019,1,0,0,Northgate,Northgate3,Fiction,Adult,Novel,Null,English,English
1998,1,0,0,Northgate,Northgate3,Fiction,Adult,Novel,Null,English,English
2014,1,1,0,Northgate,Northgate3,Fiction,Adult,Novel,Null,English,English
2005,1,0,0,Northgate,Northgate3,Fiction,Adult,Novel,Null,English,English
1993,1,0,0,Northgate,Northgate3,Fiction,Adult,Novel,Null,English,English
2010,1,0,0,Northgate,Northgate3,Fiction,Adult,Novel,Null,English,English
2010,1,0,0,Northgate,Northgate3,Fiction,Adult,Novel,Null,English,English
1987,1,0,0,Northgate,Northgate3,Fiction,Adult,Novel,Null,English,English
2004,1,0,0,Northgate,Northgate3,Fiction,Adult,Novel,Null,English,English
2013,1,0,0,Northgate,Northgate3,Fiction,Adult,Novel,Religion,English,English
2013,1,0,0,Northgate,Northgate3,Fiction,Adult,Novel,Religion,English,English
2015,1,0,0,Northgate,Northgate3,Fiction,Adult,Novel,Religion,English,English
2005,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Reference,Null,English,English
1975,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Reference,Null,English,English
1988,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Reference,Self Help/Health,English,English
2010,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Religion,Null,English,English
1983,1,1,0,Northgate,Northgate3,Nonfiction,Adult,Religion,Null,English,Chinese
1998,1,0,0,Northgate,Northgate3,Fiction,Adult,Romance,Null,English,English
2016,1,1,0,Northgate,Northgate3,Fiction,Adult,Romance,Null,English,
1994,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Science,Cultural Studies,English,English
2006,1,0,0,Northgate,Northgate3,Fiction,Adult,SciFi/Fantasy,Null,English,English
1987,1,0,0,Northgate,Northgate3,Fiction,Adult,SciFi/Fantasy,Null,English,English
2004,1,0,0,Northgate,Northgate3,Fiction,Adult,SciFi/Fantasy,Null,English,English
1980,1,0,0,Northgate,Northgate3,Fiction,Adult,SciFi/Fantasy,Null,English,English
2003,1,0,0,Northgate,Northgate3,Fiction,Adult,SciFi/Fantasy,Null,English,English
2016,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Self Help/Health,Cultural Studies,English,English
2011,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Self Help/Health,Cultural Studies,English,English
1999,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Self Help/Health,Null,English,English
2012,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Self Help/Health,Null,English,English
1999,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Self Help/Health,Null,English,English
2014,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Self Help/Health,Null,English,
1999,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Self Help/Health,Null,English,English
1964,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Sports,Null,,
1969,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Sports,Null,English,
2010,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Sports,Null,English,English
1989,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Sports,Null,English,English
1989,1,0,1,Northgate,Northgate3,Nonfiction,Adult,Sports,Null,English,
1967,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Sports,Null,,English
1968,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Sports,Null,,
2013,1,0,0,Northgate,Northgate3,Fiction,Adult,Thriller/Suspense,Null,English,English
2011,1,0,0,Northgate,Northgate3,Fiction,Adult,Thriller/Suspense,Null,English,English
2010,1,0,0,Northgate,Northgate3,Fiction,Adult,Thriller/Suspense,Null,English,English
1995,1,0,0,Northgate,Northgate3,Fiction,Adult,Thriller/Suspense,Null,English,English
2014,1,0,0,Northgate,Northgate3,Fiction,Adult,Thriller/Suspense,Null,English,English
1995,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Travel,Null,English,English
1995,1,1,0,Northgate,Northgate3,Nonfiction,Adult,Science,Null,,
1992,1,0,0,Northgate,Northgate4,Nonfiction,Adult,Cookery,Null,English,
2007,1,0,0,Northgate,Northgate4,Nonfiction,Adult,Cookery,Self Help/Health,English,English
2009,1,0,0,Northgate,Northgate4,Nonfiction,Adult,Cultural Studies,Null,English,English
1990,1,0,0,Northgate,Northgate4,Fiction,Adult,Mystery,Null,English,English
1978,1,0,0,Northgate,Northgate4,Fiction,Adult,Mystery,Null,English,English
1995,1,0,0,Northgate,Northgate4,Fiction,Adult,Mystery,Null,English,English
1966,1,0,0,Northgate,Northgate4,Nonfiction,Adult,Nature/Gardening,Null,English,English
2000,1,0,0,Northgate,Northgate4,Fiction,Adult,Novel,Null,English,English
1985,1,0,0,Northgate,Northgate4,Fiction,Adult,SciFi/Fantasy,Null,English,English
2007,1,0,0,Northgate,Northgate4,Nonfiction,Adult,Self Help/Health,Null,English,English
2003,1,0,0,Northgate,Northgate4,Nonfiction,Adult,Self Help/Health,Null,English,English
2013,1,0,0,Northgate,Northgate4,Nonfiction,Adult,Self Help/Health,Null,English,English
2009,1,0,0,Northgate,Northgate4,Fiction,Adult,Thriller/Suspense,Null,English,English
2015,1,0,0,Northgate,Northgate4,Fiction,Adult,Thriller/Suspense,Null,English,English
1985,1,0,0,Northgate,Northgate5,Fiction,Adult,Anthology/Essays/Short stories,Null,English,English
2018,1,0,0,Northgate,Northgate5,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,English,English
1954,1,0,0,Northgate,Northgate5,Fiction,Adult,Classics,Novel,English,English
1993,1,1,0,Northgate,Northgate5,Fiction,Adult,Classics,Null,English,English
2016,1,0,0,Northgate,Northgate5,Nonfiction,Adult,Cultural Studies,Null,English,English
1985,1,1,0,Northgate,Northgate5,Fiction,Adult,Drama,Null,English,English
2017,1,0,0,Northgate,Northgate5,Fiction,Adult,Mystery,Null,English,English
2004,1,0,0,Northgate,Northgate5,Fiction,Adult,Mystery,Null,English,English
2004,1,1,0,Northgate,Northgate5,Fiction,Adult,Novel,Biography,English,English
2007,1,1,0,Northgate,Northgate5,Fiction,Adult,Novel,History,English,English
1998,1,0,0,Northgate,Northgate5,Fiction,Adult,Novel,History,English,English
2017,1,0,0,Northgate,Northgate5,Fiction,Adult,Novel,Null,English,English
1986,1,0,0,Northgate,Northgate5,Nonfiction,Adult,Reference,Null,English,English
1963,1,1,0,Northgate,Northgate5,Nonfiction,Adult,Religion,Self Help/Health,English,English
2010,1,0,0,Northgate,Northgate5,Nonfiction,Adult,Self Help/Health,Null,English,English
1986,1,0,0,Northgate,Northgate5,Fiction,Adult,Thriller/Suspense,Null,English,English
1967,1,0,0,Phinney-Greenwood,Phinney-Green1,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,English,English
1993,1,0,0,Phinney-Greenwood,Phinney-Green1,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,English,English
1999,1,0,0,Phinney-Greenwood,Phinney-Green1,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,English,English
1980,1,0,0,Phinney-Greenwood,Phinney-Green1,Fiction,Adult,Drama,Null,,
2002,1,0,0,Phinney-Greenwood,Phinney-Green1,Nonfiction,Adult,History,Null,English,English
2017,1,0,0,Phinney-Greenwood,Phinney-Green1,Fiction,Adult,Mystery,Null,English,English
2011,1,0,0,Phinney-Greenwood,Phinney-Green1,Fiction,Adult,Novel,Null,English,English
2017,1,0,0,Phinney-Greenwood,Phinney-Green1,Fiction,Adult,Novel,Null,English,English
1997,1,0,0,Phinney-Greenwood,Phinney-Green1,Fiction,Adult,novel,Null,English,English
1987,1,0,0,Phinney-Greenwood,Phinney-Green1,Fiction,Adult,Novel,Null,English,English
2019,1,0,0,Phinney-Greenwood,Phinney-Green1,Fiction,Adult,Novel,Null,English,English
2017,1,0,0,Phinney-Greenwood,Phinney-Green1,Fiction,Adult,Novel,Null,English,English
2000,1,0,0,Phinney-Greenwood,Phinney-Green1,Fiction,Adult,Romance,Null,English,English
2007,1,0,0,Phinney-Greenwood,Phinney-Green1,Nonfiction,Adult,Self Help/Health,Crafts,English,English
1997,1,0,0,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,Drama,Null,English,
1992,1,0,0,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,Mystery,Null,English,English
1995,1,0,0,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,Mystery,Null,English,English
1991,1,0,0,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,Mystery,Null,English,English
1994,1,0,0,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,Mystery,Null,English,English
2011,1,0,0,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,Novel,Null,English,English
1988,1,0,0,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,Novel,Null,English,English
2013,1,0,0,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,Novel,Null,English,English
1996,1,0,0,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,Novel,Null,English,English
1998,1,0,0,Phinney-Greenwood,Phinney-Green2,Nonfiction,Adult,Religion,Null,English,English
2003,1,0,0,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,Romance,Null,English,English
1993,1,0,0,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,Romance,Null,English,English
1985,1,0,0,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,SciFi/Fantasy,Null,English,English
2003,1,0,0,Phinney-Greenwood,Phinney-Green2,Nonfiction,Adult,Self Help/Health,Null,English,
2016,1,0,0,Phinney-Greenwood,Phinney-Green2,Nonfiction,Adult,Self Help/Health,Null,English,English
2006,1,0,0,Phinney-Greenwood,Phinney-Green2,Nonfiction,Adult,Self Help/Health,Null,English,English
1999,1,0,0,Phinney-Greenwood,Phinney-Green2,Nonfiction,Adult,Self Help/Health,Null,English,English
1999,1,0,0,Phinney-Greenwood,Phinney-Green2,Nonfiction,Adult,Self Help/Health,Null,English,English
1980,1,0,0,Phinney-Greenwood,Phinney-Green2,Nonfiction,Adult,Self Help/Health,Null,English,English
2011,1,0,0,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,Thriller/Suspense,Null,English,English
2012,1,0,0,Phinney-Greenwood,Phinney-Green2,Nonfiction,Adult,Poetry,Null,English,
2014,1,0,0,Phinney-Greenwood,Phinney-Green2,Nonfiction,Adult,Business/Technology,Null,English,
2012,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,English,English
1961,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Cookery,Null,English,English
1977,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Crafts,Null,English,English
1986,1,1,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Crafts,Null,English,English
2016,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Cultural Studies,Null,English,English
2016,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Cultural Studies,Null,English,English
2016,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,History,Cultural Studies,English,English
2003,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,History,Null,English,English
1985,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,History,Null,English,English
2007,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Mystery,Null,English,English
2015,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Mystery,Null,English,English
2005,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Mystery,Null,English,English
2010,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Novel,Null,English,English
