yrpub,count,authorOfColor,nonPersonAuthor,neighborhood,collection,type,age,category1,category2,languages,originalLang
2007,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Novel,Null,English,English
2015,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Novel,Null,English,English
2013,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Novel,Null,English,English
1998,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Novel,Null,English,English
2007,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Novel,Null,English,English
2016,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Novel,Null,English,English
1996,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Novel,Null,English,English
2015,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Novel,Null,English,English
2011,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Novel,Null,English,English
2004,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Novel,Null,English,English
2001,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Novel,Null,English,English
2014,1,1,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Novel,Null,English,English
2015,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Religion,Null,English,English
2015,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,SciFi/Fantasy,Null,English,English
2002,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,SciFi/Fantasy,Null,English,English
2000,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Self Help/Health,Null,English,English
2001,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Self Help/Health,Null,English,English
2009,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Self Help/Health,Null,,English
2003,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Self Help/Health,Null,English,English
2006,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Self Help/Health,Null,English,English
1999,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Self Help/Health,Null,English,English
2004,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Self Help/Health,Null,English,English
1993,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Self Help/Health,Null,English,English
2001,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Self Help/Health,Null,English,English
1999,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Self Help/Health,Null,English,English
2004,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Self Help/Health,Null,English,English
1988,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Sports,Null,English,English
2001,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Thriller/Suspense,Null,English,English
2014,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Thriller/Suspense,Null,English,English
1995,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Travel,Null,English,German
2013,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Travel,Null,English,English
2012,1,0,0,Phinney-Greenwood,Phinney-Green4,Nonfiction,Adult,Anthology/Essays/Short stories,Null,English,
2018,1,0,0,Phinney-Greenwood,Phinney-Green4,Nonfiction,Adult,Cultural Studies,Null,English,English
2005,1,0,0,Phinney-Greenwood,Phinney-Green4,Nonfiction,Adult,Cultural Studies,Null,English,English
1993,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Mystery,Null,English,English
2011,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Mystery,Null,English,English
2002,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Mystery,Null,English,English
1998,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Mystery,Null,English,English
1998,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Mystery,Null,"English, Achinese",English
1966,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Mystery,Null,,
2017,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Mystery,Null,English,English
2014,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Novel,Null,English,English
2004,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Novel,Null,English,English
2001,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Novel,Null,English,English
2001,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Novel,Null,English,English
2012,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Novel,Null,English,English
2010,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Novel,Null,English,English
2006,1,1,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Novel,Null,English,English
2015,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Novel,Null,English,English
1999,1,1,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Novel,Null,English,English
2005,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Novel,Null,English,English
2001,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Novel,Null,English,English
2009,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Novel,Null,English,English
1990,1,1,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Poetry,Null,English,English
2015,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Romance,Null,English,English
2017,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Romance,Null,English,English
2016,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,SciFi/Fantasy,Null,English,English
2007,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,SciFi/Fantasy,Null,English,English
2001,1,0,1,Phinney-Greenwood,Phinney-Green4,Nonfiction,Adult,Self Help/Health,Null,English,English
1998,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Thriller/Suspense,Null,English,English
2014,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Thriller/Suspense,Null,English,English
2002,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Thriller/Suspense,Null,English,English
2017,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Thriller/Suspense,Null,English,English
2010,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Thriller/Suspense,Null,English,English
2018,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Thriller/Suspense,Null,English,English
2018,1,0,0,Phinney-Greenwood,Phinney-Green5,Fiction,Adult,Novel,Null,English,English
1993,1,0,0,Phinney-Greenwood,Phinney-Green5,Fiction,Adult,SciFi/Fantasy,SciFi/Fantasy,English,English
1992,1,0,0,Phinney-Greenwood,Phinney-Green5,Nonfiction,Adult,Self Help/Health,Null,English,English
1996,1,0,0,Phinney-Greenwood,Phinney-Green5,Nonfiction,Adult,Self Help/Health,Null,English,
1978,1,0,0,Phinney-Greenwood,Phinney-Green5,Nonfiction,Adult,Self Help/Health,Null,English,English
1986,1,0,0,Phinney-Greenwood,Phinney-Green5,Fiction,Adult,Thriller/Suspense,Null,English,English
2015,1,0,0,Phinney-Greenwood,Phinney-Green5,Fiction,Adult,Thriller/Suspense,Null,English,English
2003,1,0,0,Phinney-Greenwood,Phinney-Green5,Fiction,Adult,Thriller/Suspense,Null,English,English
1992,1,0,0,Phinney-Greenwood,Phinney-Green5,Fiction,Adult,Thriller/Suspense,Null,English,English
1973,1,0,0,Phinney-Greenwood,Phinney-Green5,Nonfiction,Adult,Travel,Null,,
2017,1,0,0,Queen Anne,QueenAnne1,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,English,English
1949,1,0,0,Queen Anne,QueenAnne1,Nonfiction,Adult,Cookery,Null,,
1971,1,0,0,Queen Anne,QueenAnne1,Nonfiction,Adult,Cultural Studies,Null,English,English
1987,1,0,0,Queen Anne,QueenAnne1,Fiction,Adult,Novel,Null,English,English
2018,1,0,0,Queen Anne,QueenAnne1,Fiction,Adult,Novel,Null,English,English
2012,1,0,0,Queen Anne,QueenAnne1,Fiction,Adult,Novel,Null,English,English
2013,1,0,0,Queen Anne,QueenAnne1,Fiction,Adult,Novel,Null,English,English
1987,1,0,0,Queen Anne,QueenAnne1,Fiction,Adult,Novel,Null,English,English
2010,1,0,0,Queen Anne,QueenAnne1,Fiction,Adult,Thriller/Suspense,Null,English,English
1992,1,0,0,Queen Anne,QueenAnne1,Fiction,Adult,Thriller/Suspense,Null,English,English
2018,1,1,0,Queen Anne,QueenAnne2,Nonfiction,Adult,Cultural Studies,Anthology,English,English
2018,1,0,0,Queen Anne,QueenAnne2,Nonfiction,Adult,Cultural Studies,Null,English,English
1998,1,0,0,Queen Anne,QueenAnne2,Nonfiction,Adult,Cultural Studies,Null,English,English
2014,1,0,0,Queen Anne,QueenAnne2,Fiction,Adult,Novel,Null,English,English
1984,1,0,0,Queen Anne,QueenAnne2,Fiction,Adult,Novel,Null,English,English
1984,1,0,0,Queen Anne,QueenAnne2,Fiction,Adult,Novel,Null,English,English
1999,1,0,0,Queen Anne,QueenAnne2,Fiction,Adult,Novel,Null,English,English
2009,1,0,0,Queen Anne,QueenAnne2,Fiction,Adult,Thriller/Suspense,Null,English,English
2001,1,0,0,Queen Anne,QueenAnne3,Fiction,Adult,Anthology/Essays/Short stories,Null,English,English
1988,1,0,0,Queen Anne,QueenAnne3,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,English,English
2009,1,0,0,Queen Anne,QueenAnne3,Nonfiction,Adult,Cultural Studies,Null,English,English
2004,1,0,0,Queen Anne,QueenAnne3,Nonfiction,Adult,Cultural Studies,Null,English,English
1994,1,0,0,Queen Anne,QueenAnne3,Fiction,Adult,Mystery,Null,English,English
2018,1,0,0,Queen Anne,QueenAnne3,Fiction,Adult,Novel,Null,English,English
2004,1,0,0,Queen Anne,QueenAnne3,Fiction,Adult,Novel,Null,English,English
2001,1,0,0,Queen Anne,QueenAnne3,Fiction,Adult,novel,Null,English,English
2009,1,0,0,Queen Anne,QueenAnne3,Fiction,Adult,Novel,Null,English,English
1990,1,0,0,Queen Anne,QueenAnne3,Fiction,Adult,Romance,Null,English,English
2003,1,0,0,Queen Anne,QueenAnne3,Fiction,Adult,SciFi/Fantasy,Null,English,English
1999,1,0,0,Queen Anne,QueenAnne3,Fiction,Adult,SciFi/Fantasy,Null,English,English
1979,1,0,0,Queen Anne,QueenAnne3,Fiction,Adult,Thriller/Suspense,Null,English,English
2002,1,0,0,Queen Anne,QueenAnne3,Fiction,Adult,Thriller/Suspense,Null,English,English
2015,1,0,0,Queen Anne,QueenAnne3,Fiction,Adult,Thriller/Suspense,Null,English,English
1998,1,0,0,Queen Anne,QueenAnne4,Fiction,Adult,Anthology/Essays/Short stories,Null,English,English
2015,1,1,0,Queen Anne,QueenAnne4,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,English,English
2009,1,1,0,Queen Anne,QueenAnne4,Fiction,Adult,Classics,Novel,Spanish,Spanish
1977,1,1,0,Queen Anne,QueenAnne4,Fiction,Adult,Classics,Religion,English,English
2018,1,1,0,Queen Anne,QueenAnne4,Nonfiction,Adult,Cultural Studies,Null,English,English
1993,1,0,0,Queen Anne,QueenAnne4,Fiction,Adult,Drama,Null,English,English
2004,1,1,0,Queen Anne,QueenAnne4,Nonfiction,Adult,Graphic/Manga,Null,English,English
2000,1,0,0,Queen Anne,QueenAnne4,Fiction,Adult,Mystery,Null,English,English
1991,1,0,0,Queen Anne,QueenAnne4,Fiction,Adult,Mystery,Null,English,English
2013,1,0,0,Queen Anne,QueenAnne4,Fiction,Adult,Mystery,Null,English,English
1996,1,0,0,Queen Anne,QueenAnne4,Fiction,Adult,Mystery,Null,English,English
2008,1,0,0,Queen Anne,QueenAnne4,Fiction,Adult,Novel,Null,English,English
2002,1,0,0,Queen Anne,QueenAnne4,Fiction,Adult,Novel,Null,English,English
1996,1,0,0,Queen Anne,QueenAnne4,Fiction,Adult,Novel,Null,English,English
2000,1,0,0,Queen Anne,QueenAnne4,Fiction,Adult,Novel,Religion,English,English
1976,1,0,0,Queen Anne,QueenAnne4,Fiction,Adult,Romance,Null,English,English
2003,1,0,0,Queen Anne,QueenAnne4,Fiction,Adult,Romance,Null,English,English
2011,1,0,0,Queen Anne,QueenAnne4,Fiction,Adult,SciFi/Fantasy,Null,English,English
2000,1,0,0,Queen Anne,QueenAnne4,Fiction,Adult,Thriller/Suspense,Null,English,English
2005,1,0,0,Queen Anne,QueenAnne4,Fiction,Adult,Thriller/Suspense,Null,English,English
2003,1,0,0,Queen Anne,QueenAnne4,Fiction,Adult,Thriller/Suspense,Null,English,English
1985,1,0,0,Queen Anne,QueenAnne4,Fiction,Adult,Thriller/Suspense,Null,English,English
2000,1,0,0,Queen Anne,QueenAnne5,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,English,English
2000,1,0,0,Queen Anne,QueenAnne5,Fiction,Adult,Classics,Null,English,English
2006,1,0,0,Queen Anne,QueenAnne5,Nonfiction,Adult,Cookery,Null,English,English
1996,1,0,0,Queen Anne,QueenAnne5,Fiction,Adult,Mystery,Null,English,English
2006,1,0,0,Queen Anne,QueenAnne5,Fiction,Adult,Mystery,Null,English,English
2014,1,0,0,Queen Anne,QueenAnne5,Fiction,Adult,Mystery,Null,English,English
2004,1,0,0,Queen Anne,QueenAnne5,Fiction,Adult,Mystery,Null,English,English
1998,1,0,0,Queen Anne,QueenAnne5,Fiction,Adult,Novel,Null,English,English
2011,1,0,0,Queen Anne,QueenAnne5,Fiction,Adult,Novel,Null,English,English
2018,1,0,0,Queen Anne,QueenAnne5,Fiction,Adult,Novel,Null,English,English
1982,1,0,0,Queen Anne,QueenAnne5,Fiction,Adult,SciFi/Fantasy,Null,English,English
2010,1,0,0,Queen Anne,QueenAnne5,Nonfiction,Adult,Self Help/Health,Null,English,English
2006,1,0,0,Queen Anne,QueenAnne5,Nonfiction,Adult,Self Help/Health,Null,English,English
1980,1,0,0,Queen Anne,QueenAnne5,Nonfiction,Adult,Sports,Null,,
2002,1,0,0,Queen Anne,QueenAnne5,Fiction,Adult,Thriller/Suspense,Null,English,English
2017,1,0,0,Ravenna,Ravenna1,Nonfiction,Adult,History,Null,English,English
2000,1,0,0,Ravenna,Ravenna1,Fiction,Adult,Mystery,Null,English,English
1993,1,0,0,Ravenna,Ravenna1,Fiction,Adult,Mystery,Null,English,English
2000,1,0,0,Ravenna,Ravenna1,Fiction,Adult,Mystery,Null,English,English
2011,1,0,0,Ravenna,Ravenna1,Fiction,Adult,Mystery,Null,English,English
1976,1,0,0,Ravenna,Ravenna1,Fiction,Adult,Novel,Null,English,English
1976,1,0,0,Ravenna,Ravenna1,Fiction,Adult,Novel,Null,English,English
2019,1,0,0,Ravenna,Ravenna1,Fiction,Adult,Poetry,Null,English,English
2007,1,0,0,Ravenna,Ravenna1,Nonfiction,Adult,Religion,Null,English,English
2013,1,0,0,Ravenna,Ravenna1,Fiction,Adult,SciFi/Fantasy,Null,English,English
2019,1,0,0,Ravenna,Ravenna1,Fiction,Adult,Thriller/Suspense,Null,English,English
1989,1,0,0,Ravenna,Ravenna2,Fiction,Adult,Anthology/Essays/Short stories,Null,English,English
1994,1,0,0,Ravenna,Ravenna2,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,English,English
1991,1,0,0,Ravenna,Ravenna2,Nonfiction,Adult,Cultural Studies,Null,English,English
2011,1,0,0,Ravenna,Ravenna2,Nonfiction,Adult,Music,Null,English,
2002,1,0,0,Ravenna,Ravenna2,Fiction,Adult,Mystery,Null,English,English
2000,1,0,0,Ravenna,Ravenna2,Fiction,Adult,Mystery,Null,English,English
2000,1,0,0,Ravenna,Ravenna2,Fiction,Adult,Mystery,Null,English,English
2005,1,1,0,Ravenna,Ravenna2,Fiction,Adult,Mystery,Null,English,English
2009,1,0,0,Ravenna,Ravenna2,Fiction,Adult,Mystery,Null,English,English
1994,1,0,0,Ravenna,Ravenna2,Fiction,Adult,Mystery,Null,English,English
1997,1,0,0,Ravenna,Ravenna2,Fiction,Adult,Mystery,Null,English,English
2005,1,0,0,Ravenna,Ravenna2,Nonfiction,Adult,Nature/Gardening,Null,English,English
2005,1,0,0,Ravenna,Ravenna2,Fiction,Adult,Novel,Null,English,English
2016,1,1,0,Ravenna,Ravenna2,Fiction,Adult,Novel,Null,English,English
2005,1,0,0,Ravenna,Ravenna2,Fiction,Adult,Novel,Null,English,English
1998,1,0,0,Ravenna,Ravenna2,Fiction,Adult,Novel,Null,English,English
1998,1,1,0,Ravenna,Ravenna2,Fiction,Adult,Novel,Null,English,English
1998,1,0,0,Ravenna,Ravenna2,Fiction,Adult,Poetry,Null,English,English
2017,1,0,0,Ravenna,Ravenna2,Fiction,Adult,Romance,Null,English,English
1990,1,0,0,Ravenna,Ravenna2,Fiction,Adult,Romance,Null,English,English
2001,1,0,0,Ravenna,Ravenna2,Fiction,Adult,Romance,Null,English,English
1987,1,0,0,Ravenna,Ravenna2,Fiction,Adult,Romance,Null,English,English
2006,1,0,0,Ravenna,Ravenna2,Fiction,Adult,Romance,Null,English,English
2005,1,0,0,Ravenna,Ravenna2,Fiction,Adult,Romance,Null,English,English
1996,1,0,0,Ravenna,Ravenna2,Fiction,Adult,Romance,Null,English,English
1978,1,0,0,Ravenna,Ravenna2,Fiction,Adult,Romance,Null,English,
1997,1,0,0,Ravenna,Ravenna2,Nonfiction,Adult,Science,Null,English,English
1994,1,0,0,Ravenna,Ravenna2,Fiction,Adult,SciFi/Fantasy,Null,English,English
2011,1,0,0,Ravenna,Ravenna2,Fiction,Adult,SciFi/Fantasy,Null,English,English
2016,1,0,0,Ravenna,Ravenna2,Fiction,Adult,SciFi/Fantasy,Null,English,
2001,1,0,0,Ravenna,Ravenna2,Fiction,Adult,Thriller/Suspense,Null,English,English
1988,1,0,0,Ravenna,Ravenna2,Fiction,Adult,Thriller/Suspense,Null,English,English
2007,1,0,0,Ravenna,Ravenna3,Nonfiction,Adult,Biography/Autobiography/Memoir,Business/Technology,English,English
2012,1,0,0,Ravenna,Ravenna3,Nonfiction,Adult,Biography/Autobiography/Memoir,Graphic/Manga,English,English
1991,1,0,0,Ravenna,Ravenna3,Nonfiction,Adult,Cookery,Null,English,English
2008,1,0,0,Ravenna,Ravenna3,Fiction,Adult,Graphic/Manga,Null,,
2014,1,0,0,Ravenna,Ravenna3,Fiction,Adult,Mystery,Novel,English,English
1999,1,0,0,Ravenna,Ravenna3,Fiction,Adult,Mystery,Null,English,English
2016,1,0,0,Ravenna,Ravenna3,Fiction,Adult,Novel,Null,English,English
1990,1,1,0,Ravenna,Ravenna3,Fiction,Adult,Novel,Null,English,Japanese
2009,1,0,0,Ravenna,Ravenna3,Fiction,Adult,Novel,Null,English,English
2014,1,0,0,Ravenna,Ravenna3,Fiction,Adult,Romance,Novel,English,English
2008,1,0,0,Ravenna,Ravenna3,Nonfiction,Adult,Science,Null,English,English
2003,1,0,0,Ravenna,Ravenna3,Fiction,Adult,SciFi/Fantasy,Novel,English,English
2002,1,0,0,Ravenna,Ravenna3,Nonfiction,Adult,Self Help/Health,Null,English,English
2016,1,0,0,Ravenna,Ravenna3,Nonfiction,Adult,Sports,Null,English,English
2004,1,0,0,Ravenna,Ravenna3,Nonfiction,Adult,Travel,Null,English,English
2009,1,0,0,Ravenna,Ravenna4,Fiction,Adult,Classics,Null,English,English
2004,1,1,0,Ravenna,Ravenna4,Nonfiction,Adult,Cultural Studies,Null,English,English
1997,1,0,0,Ravenna,Ravenna4,Fiction,Adult,History,Novel,English,English
1984,1,0,0,Ravenna,Ravenna4,Fiction,Adult,History,Novel,English,English
1994,1,0,0,Ravenna,Ravenna4,Fiction,Adult,Mystery,Null,English,English
2000,1,0,0,Ravenna,Ravenna4,Fiction,Adult,Mystery,Null,English,English
1987,1,0,0,Ravenna,Ravenna4,Fiction,Adult,Mystery,Null,English,English
2008,1,0,0,Ravenna,Ravenna4,Fiction,Adult,Novel,Null,English,English
2017,1,0,0,Ravenna,Ravenna4,Fiction,Adult,Novel,Null,English,English
2011,1,0,0,Ravenna,Ravenna4,Nonfiction,Adult,Thriller/Suspense,Null,English,English
1992,1,0,0,Ravenna,Ravenna4,Fiction,Adult,Thriller/Suspense,Null,English,English
1971,1,0,0,Ravenna,Ravenna5,Nonfiction,Adult,Cookery,Null,English,English
1961,1,0,0,Ravenna,Ravenna5,Nonfiction,Adult,History,Null,English,English
2000,1,0,0,Ravenna,Ravenna5,Fiction,Adult,Mystery,Null,English,English
2012,1,0,0,Ravenna,Ravenna5,Fiction,Adult,Mystery,Null,English,English
1994,1,0,0,Ravenna,Ravenna5,Fiction,Adult,Mystery,Null,English,English
2015,1,1,0,Ravenna,Ravenna5,Fiction,Adult,Novel,Religion,English,English
2012,1,0,0,Ravenna,Ravenna5,Fiction,Adult,Novel,Null,English,English
1990,1,0,0,Ravenna,Ravenna5,Fiction,Adult,SciFi/Fantasy,Null,English,English
1991,1,0,0,Ravenna,Ravenna5,Fiction,Adult,SciFi/Fantasy,Null,English,English
1984,1,0,0,Ravenna,Ravenna5,Fiction,Adult,SciFi/Fantasy,Null,English,English
1977,1,0,0,Ravenna,Ravenna5,Fiction,Adult,SciFi/Fantasy,Null,English,English
1971,1,0,0,Ravenna,Ravenna5,Fiction,Adult,SciFi/Fantasy,Null,English,English
1984,1,0,0,Ravenna,Ravenna5,Nonfiction,Adult,Self Help/Health,Null,English,English
1974,1,0,0,Ravenna,Ravenna5,Nonfiction,Adult,Self Help/Health,Null,English,
1976,1,0,0,Ravenna,Ravenna5,Fiction,Adult,Thriller/Suspense,Null,English,English
1937,1,0,0,Ravenna,Ravenna6,Fiction,Adult,Classics,Null,English,English
1971,1,0,0,Ravenna,Ravenna6,Nonfiction,Adult,History,Null,English,English
1995,1,0,0,Ravenna,Ravenna6,Fiction,Adult,Mystery,Null,English,English
2017,1,0,0,Ravenna,Ravenna6,Fiction,Adult,Novel,Null,English,English
2015,1,1,0,Ravenna,Ravenna6,Fiction,Adult,Novel,Null,English,English
2017,1,0,0,Ravenna,Ravenna6,Fiction,Adult,Novel,Null,English,English
2007,1,0,0,Ravenna,Ravenna6,Fiction,Adult,Novel,Null,English,English
1998,1,0,0,Ravenna,Ravenna6,Nonfiction,Adult,Self Help/Health,Null,English,English
2010,1,0,0,Ravenna,Ravenna6,Nonfiction,Adult,Self Help/Health,Null,English,English
2014,1,0,0,Ravenna,Ravenna6,Fiction,Adult,Thriller/Suspense,Null,English,English
2018,1,0,0,Ravenna,Ravenna6,Fiction,Adult,Thriller/Suspense,Null,English,English
1972,1,0,0,Ravenna,Ravenna6,Nonfiction,Adult,Travel,Null,English,English
1998,1,0,0,Central District,CentralDistrict3,Nonfiction,Childrens,Null,Self Help/Health,English,English
2002,1,0,0,Central District,CentralDistrict3,Nonfiction,Childrens,Null,Null,English,English
2008,1,0,0,Central District,CentralDistrict3,Fiction,Childrens,Null,Null,English,English
1997,1,0,0,Central District,CentralDistrict3,Fiction,Childrens,Null,Null,English,English
2007,1,0,0,Central District,CentralDistrict3,Fiction,Childrens,Null,Null,English,English
2006,1,0,0,Central District,CentralDistrict4,Fiction,Childrens,Null,Null,English,English
1986,1,0,0,Columbia City,ColumbiaCity3,Fiction,Childrens,Null,Null,English,English
2010,1,0,0,Columbia City,ColumbiaCity3,Fiction,Childrens,Null,Null,English,English
2011,1,0,0,Columbia City,ColumbiaCity3,Fiction,Childrens,Null,Null,English,English
1981,1,0,0,Columbia City,ColumbiaCity3,Fiction,Childrens,Null,Null,English,English
2008,1,0,0,Columbia City,ColumbiaCity3,Fiction,Childrens,Null,Null,English,English
1981,1,0,0,Columbia City,ColumbiaCity3,Fiction,Childrens,Null,Null,,English
1990,1,0,0,Columbia City,ColumbiaCity3,Fiction,Childrens,Null,Null,English,English
2006,1,0,0,Columbia City,ColumbiaCity4,Fiction,Childrens,Null,Null,English,English
1982,1,0,0,Laurelhurst,Laurelhurst1,Fiction,Childrens,Null,Null,English,English
2006,1,0,0,Laurelhurst,Laurelhurst2,Fiction,Childrens,Null,Null,English,English
