category,CentralDistrict1,CentralDistrict2,CentralDistrict3,CentralDistrict4,CentralDistrict5,CentralDistrict6,ColumbiaCity1,ColumbiaCity2,ColumbiaCity3,ColumbiaCity4,ColumbiaCity5,Laurelhurst1,Laurelhurst2,Laurelhurst3,Laurelhurst4,Laurelhurst5,Laurelhurst6,Montlake2,Montlake4,Montlake5,Montlake6,Northgate1,Northgate2,Northgate3,Northgate4,Northgate5,Phinney-Green1,Phinney-Green2,Phinney-Green3,Phinney-Green4,Phinney-Green5,QueenAnne1,QueenAnne2,QueenAnne3,QueenAnne4,QueenAnne5,Ravenna1,Ravenna2,Ravenna3,Ravenna4,Ravenna5,Ravenna6
Anthology/Essays/Short stories,0,0.1875,0,0,0.166666667,0,0,0.0625,0.071428571,0.045454545,0,0,0,0,0,0.045454545,0,0,0,0.047619048,0,0.037037037,0.054054054,0.006993007,0,0.055555556,0,0,0,0.032786885,0,0,0,0.041666667,0.038461538,0,0,0.028571429,0,0,0,0
Art,0,0,0,0,0,0.1,0,0,0,0.090909091,0,0,0,0,0.066666667,0,0,0.041666667,0.04,0.047619048,0,0,0,0.006993007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biography/Autobiography/Memoir,0,0,0.1,0.038461538,0.166666667,0.1,0.076923077,0.0625,0,0.090909091,0.333333333,0.071428571,0,0,0.066666667,0.090909091,0,0.041666667,0.08,0.047619048,0,0,0.054054054,0.034965035,0,0.055555556,0.214285714,0,0.014492754,0,0,0.058823529,0,0.041666667,0.038461538,0.041666667,0,0.028571429,0.095238095,0,0,0
Business/Technology,0,0.0625,0.033333333,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,0,0.041666667,0,0.047619048,0,0.074074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classics,0,0,0,0,0,0,0,0,0.071428571,0,0,0,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0.076923077,0.041666667,0.052631579,0,0,0.066666667,0,0.076923077
Cookery,0,0,0,0,0,0,0,0.125,0.035714286,0,0.166666667,0,0,0.210526316,0,0,0,0.666666667,0.08,0.047619048,0.181818182,0,0,0,0.133333333,0,0,0,0.014492754,0,0,0.058823529,0,0,0,0.041666667,0,0,0.047619048,0,0.047619048,0
Crafts,0,0,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0.062937063,0,0,0,0,0.028985507,0,0,0,0,0,0,0,0,0,0,0,0,0
Cultural Studies,0.25,0,0.033333333,0.038461538,0,0.1,0.153846154,0,0.035714286,0,0,0,0.071428571,0.105263158,0,0,0,0,0,0,0,0,0,0.020979021,0.066666667,0.055555556,0,0,0.043478261,0.032786885,0,0.058823529,0.214285714,0.083333333,0.038461538,0,0,0.028571429,0,0.066666667,0,0
Drama,0,0,0,0,0,0,0,0,0.035714286,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037,0.054054054,0,0,0.055555556,0.071428571,0.038461538,0,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0
Graphic/Manga,0,0,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0,0,0,0.047619048,0,0,0
History,0,0,0.033333333,0.076923077,0.5,0,0.153846154,0,0.035714286,0,0.166666667,0,0,0.052631579,0,0.090909091,0,0,0,0.095238095,0,0.037037037,0.081081081,0.013986014,0,0,0.071428571,0,0.072463768,0,0,0,0,0,0,0,0.052631579,0,0,0.133333333,0.047619048,0.076923077
Music,0,0,0,0,0,0,0,0,0,0.045454545,0,0,0,0,0,0,0,0,0,0,0,0.074074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028571429,0,0,0,0
Mystery,0,0,0.133333333,0.038461538,0,0.2,0.076923077,0,0.071428571,0,0,0.214285714,0.142857143,0.052631579,0.066666667,0.272727273,0,0.041666667,0.16,0,0.090909091,0.037037037,0,0.055944056,0.2,0.166666667,0.071428571,0.153846154,0.043478261,0.131147541,0.058823529,0,0,0.083333333,0.153846154,0.166666667,0.210526316,0.2,0.095238095,0.2,0.19047619,0.076923077
Nature/Gardening,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0.071428571,0,0.066666667,0,0,0,0.04,0,0,0,0,0.027972028,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0.028571429,0,0,0,0
Novel,0.25,0.5625,0.166666667,0.038461538,0,0.3,0.076923077,0.3125,0.5,0.136363636,0,0.214285714,0.285714286,0.052631579,0.466666667,0.227272727,0.285714286,0,0.36,0.19047619,0.363636364,0.074074074,0.459459459,0.111888112,0.066666667,0.222222222,0.428571429,0.192307692,0.231884058,0.262295082,0.058823529,0.411764706,0.285714286,0.291666667,0.192307692,0.125,0.210526316,0.2,0.19047619,0.133333333,0.095238095,0.307692308
Null,0,0,0.233333333,0.230769231,0,0,0,0,0.035714286,0.227272727,0,0.071428571,0,0.315789474,0.066666667,0.227272727,0.142857143,0,0,0.095238095,0,0.37037037,0.108108108,0.391608392,0.066666667,0.055555556,0,0.192307692,0.275362319,0.295081967,0.176470588,0.294117647,0.428571429,0.166666667,0.038461538,0.291666667,0,0,0.095238095,0,0.19047619,0
Poetry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,0,0,0.090909091,0,0,0,0,0,0,0,0,0.016393443,0,0,0,0,0,0,0.052631579,0.028571429,0,0,0,0
Reference,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0.047619048,0,0,0,0.020979021,0,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Religion,0.25,0,0.033333333,0.115384615,0,0.1,0.076923077,0,0.035714286,0,0,0,0,0,0,0.045454545,0.142857143,0,0,0,0,0.111111111,0.108108108,0.013986014,0,0.055555556,0,0.038461538,0.014492754,0.032786885,0.058823529,0,0,0,0,0.041666667,0.052631579,0,0,0,0,0
Romance,0,0,0,0.076923077,0,0,0,0,0,0.090909091,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0.013986014,0,0,0.071428571,0.076923077,0,0.032786885,0,0,0,0.041666667,0.076923077,0,0,0.228571429,0.047619048,0,0,0
Science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006993007,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028571429,0.047619048,0,0,0
SciFi/Fantasy,0,0,0,0.115384615,0,0,0.076923077,0.0625,0.035714286,0.181818182,0,0,0.142857143,0.210526316,0,0,0,0,0,0,0.181818182,0,0,0.06993007,0.066666667,0,0,0.038461538,0.028985507,0.049180328,0.176470588,0,0,0.125,0.076923077,0.083333333,0.315789474,0.114285714,0.19047619,0.266666667,0.285714286,0.076923077
Self Help/Health,0,0.0625,0,0.076923077,0.166666667,0.1,0.153846154,0.25,0,0,0.166666667,0.214285714,0.071428571,0,0,0,0.285714286,0.125,0.12,0.142857143,0,0,0,0.048951049,0.2,0.055555556,0.071428571,0.230769231,0.15942029,0.016393443,0.176470588,0,0,0,0.038461538,0.083333333,0,0,0.047619048,0,0.095238095,0.153846154
Sports,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0.04,0.047619048,0,0,0,0.048951049,0,0,0,0,0.014492754,0,0,0,0,0,0,0.041666667,0,0,0.047619048,0,0,0
Thriller/Suspense,0.25,0.125,0.1,0.115384615,0,0,0.153846154,0.0625,0.035714286,0,0.166666667,0.071428571,0.142857143,0,0.066666667,0,0,0,0.04,0.047619048,0.090909091,0.148148148,0.081081081,0.034965035,0.133333333,0.055555556,0,0.038461538,0.028985507,0.098360656,0.235294118,0.117647059,0.071428571,0.125,0.153846154,0.041666667,0.052631579,0.057142857,0,0.133333333,0.047619048,0.153846154
Travel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0.142857143,0,0,0.095238095,0,0,0,0.006993007,0,0,0,0,0.028985507,0,0.058823529,0,0,0,0,0,0,0,0.047619048,0,0,0.076923077
